KOD,ÜRÜN,MODEL,MALZEME,KAPLAMA,MİKTAR,A,B,D,L,h,s,BİRİM_PAKET,KATEGORİ
,AL Pleyt,ALULINER,,,3+3 Ad,41,150,,,,,,KAYAR-SABİT ÇATI SİSTEMLERİ
,Ø 6.4 Çelik Perçin,,,,36 Ad,,,,,,,,,KAYAR-SABİT ÇATI SİSTEMLERİ
,Kombin Ray (Galvanizli Çelik),STEELCOMLINER,,,2 Ad,81,80,,,,,8500,KAYAR-SABİT ÇATI SİSTEMLERİ
,Kombin Ray (Galvanizli Çelik),STEELCOMLINER,,,2 Ad,81,80,,,,,9500,KAYAR-SABİT ÇATI SİSTEMLERİ
,Kombin Ray (Galvanizli Çelik Takviyeli - 3 Parça),STEELCOMLINER,,,2+2+2 Ad,101,80,,,,,13600,KAYAR-SABİT ÇATI SİSTEMLERİ
,Kombin Ray (Galvanizli Çelik Takviyeli - Tek Parça),STEELCOMLINER,,,2 Ad,101,80,,,,,13600,KAYAR-SABİT ÇATI SİSTEMLERİ
,SCL Pleyt,STEELCOMLINER,,,2+2 Ad,80,275,,,,,,KAYAR-SABİT ÇATI SİSTEMLERİ
,İç Soket,STEELCOMLINER,,,8 Ad,,,,,,,,,KAYAR-SABİT ÇATI SİSTEMLERİ
,Cıvata+Pul,,,,24 Ad,,,,,,,,,KAYAR-SABİT ÇATI SİSTEMLERİ
,Çatı Kapsülü,,,,42 Ad,,,,,,,,,KAYAR-SABİT ÇATI SİSTEMLERİ
,Ø 4.8 Çelik Perçin,,,,42 Ad,,,,,,,,,KAYAR-SABİT ÇATI SİSTEMLERİ
,Çatı Rayı (Galvanizli Çelik),STEELINER,,,4x7000 mm,39,40,,,,,13600,KAYAR-SABİT ÇATI SİSTEMLERİ
,Çatı Rayı (Galvanizli Çelik),STEELINER,,,4x7000 mm,49,40,,,,,13600,KAYAR-SABİT ÇATI SİSTEMLERİ
,Çatı Rayı (Galvanizli Çelik),STEELINER,,,,,39,40,,,,,Özel Ölçü,KAYAR-SABİT ÇATI SİSTEMLERİ
,Çatı Rayı (Galvanizli Çelik),STEELINER,,,,,49,40,,,,,Özel Ölçü,KAYAR-SABİT ÇATI SİSTEMLERİ
,Çatı Rayı (Galvanizli Çelik - Takviyeli),STEELINER,,,2+2 Ad,61,40,,,,,13600,KAYAR-SABİT ÇATI SİSTEMLERİ
,Çatı Rayı (Galvanizli Çelik - Takviyeli),STEELINER,,,3+3 Ad,61,40,,,,,13600,KAYAR-SABİT ÇATI SİSTEMLERİ
,Çatı Rayı (Galvanizli Çelik - Takviyeli),STEELINER,,,4+4 Ad,61,40,,,,,13600,KAYAR-SABİT ÇATI SİSTEMLERİ
,Çatı Rayı (Galvanizli Çelik - Takviyeli),STEELINER,,,5+5 Ad,61,40,,,,,13600,KAYAR-SABİT ÇATI SİSTEMLERİ
,SL Pleyt,STEELINER,,,2+2 Ad,40,275,,,,,,KAYAR-SABİT ÇATI SİSTEMLERİ
,İç Soket,STEELINER,,,4 Ad,,,,,,,,,KAYAR-SABİT ÇATI SİSTEMLERİ
,Cıvata+Pul,,,,12 Ad,,,,,,,,,KAYAR-SABİT ÇATI SİSTEMLERİ
,Dikme Aparatı,ALULINER/STEELINER,,,Dikme=Ad,41,120,,,,,,KAYAR-SABİT ÇATI SİSTEMLERİ
,Açılı Sabit Dikme,ALULINER/STEELINER,,,2 Ad,,,,,,,2500,KAYAR-SABİT ÇATI SİSTEMLERİ
841201800,Tavan Bağlantı Tokası - 120,,Membran 900-1100 gr/m2,,,,120,,120,,,YAN KAYAR PERDE AKSESUARLARI
840721800,Tavan Bağlantı Tokası - 72,,Verseidag Beyaz,,,,72,,72,,,YAN KAYAR PERDE AKSESUARLARI
640700200,Perde Rayı (7 - 7.5 - 9.5 m),,Galvanizli Çelik 2 mm,,3.1 kg/m,40,50,,,,,,YAN KAYAR PERDE AKSESUARLARI
640600200,Dikme Rayı (7 - 7.5 - 9.5 m),,Galvanizli Çelik 2 mm,,2.7 kg/m,40,50,,,,,,YAN KAYAR PERDE AKSESUARLARI
840500411,Çatı Bastonu,,Demir Boru,Çinko Galvaniz,,,,,,,2500,YAN KAYAR PERDE AKSESUARLARI
640402000,Çatı Lastiği,,EPDM,Siyah,,,120,,,,,,YAN KAYAR PERDE AKSESUARLARI
640400800,Çatı Lastiği,,PVC,Gri,,,120,,,,,,YAN KAYAR PERDE AKSESUARLARI
640081312,SCL Perde Makarası (Düz),,Çelik,Çinko,,28.5,,38,101,,,YAN KAYAR PERDE AKSESUARLARI
645081312,SCL Perde Makarası (Açılı),,Çelik,Çinko,,28.5,,38,98,,,YAN KAYAR PERDE AKSESUARLARI
840600411,ACL Perde Makarası,,Çelik,Çinko,,28.5,,19,78,,,YAN KAYAR PERDE AKSESUARLARI
640071311,Perde Makarası (Düz),,Çelik Rulman+Plastik,Çinko,,28.5,,34.5,99,,,YAN KAYAR PERDE AKSESUARLARI
645071311,Perde Makarası (Açılı),,Çelik Rulman+Plastik,Çinko,,28.5,,34.5,95,,,YAN KAYAR PERDE AKSESUARLARI
840101312,SCL Dikme Makarası (Düz),,Çelik,Çinko,,140,,38,200,,,YAN KAYAR PERDE AKSESUARLARI
845101312,SCL Dikme Makarası (Açılı),,Çelik,Çinko,,140,,38,201,,,YAN KAYAR PERDE AKSESUARLARI
840200100,ACL Dikme Makarası,,Çelik Rulman+Plastik,Çinko,,140,,34.5,229,,,YAN KAYAR PERDE AKSESUARLARI
640010500,Toka,,Paslanmaz,Yüzey İşlem,,28.5,25,,,180.5,,YAN KAYAR PERDE AKSESUARLARI
640010200,Toka,,Galvaniz,Yüzey İşlem,,28.5,25,,,180.5,,YAN KAYAR PERDE AKSESUARLARI
640030500,Toka Kancası 3 mm,,Paslanmaz,Yüzey İşlem,,50,19,,,52.5,,YAN KAYAR PERDE AKSESUARLARI
640030200,Toka Kancası 3 mm,,Galvaniz,Yüzey İşlem,,50,19,,,52.5,,YAN KAYAR PERDE AKSESUARLARI
641040500,Sabitleme Laması (Pul + Fiberli Somun),,Paslanmaz,Yüzey İşlem,,28.5,26.5,,,50,,YAN KAYAR PERDE AKSESUARLARI
641040200,Sabitleme Laması (Pul + Fiberli Somun),,Çelik + Çinko Kaplama,Yüzey İşlem,,28.5,26.5,,,50,,YAN KAYAR PERDE AKSESUARLARI
641050500,Sabitleme Laması Pulu,,Paslanmaz,Yüzey İşlem,,28.5,25,,,48,,YAN KAYAR PERDE AKSESUARLARI
641050200,Sabitleme Laması Pulu,,Galvaniz,Yüzey İşlem,,28.5,25,,,48,,YAN KAYAR PERDE AKSESUARLARI
640100000,Alt Adaptör,,Paslanmaz-Döküm,,,28,34,,,58,,YAN KAYAR PERDE AKSESUARLARI
640110000,Üst Adaptör,,Paslanmaz-Döküm,,,28,34,,,58,,YAN KAYAR PERDE AKSESUARLARI
640300000,Germe Mekanizması Sağ-50'lik,,HRP 5 mm,Çinko,,50,,,290,,,YAN KAYAR PERDE AKSESUARLARI
640310000,Germe Mekanizması Sol-50'lik,,HRP 5 mm,Çinko,,50,,,290,,,YAN KAYAR PERDE AKSESUARLARI
640320000,Germe Mekanizması Sağ-40'lik,,HRP 5 mm,Çinko,,40,,,290,,,YAN KAYAR PERDE AKSESUARLARI
640330000,Germe Mekanizması Sol-40'lik,,HRP 5 mm,Çinko,,40,,,290,,,YAN KAYAR PERDE AKSESUARLARI
640050100,Ön Germe Profili,,Katkılı Alüminyum,,,70,14,,,3000,,YAN KAYAR PERDE AKSESUARLARI
640050100,Ön Germe Profili,,Katkılı Alüminyum,,,70,14,,,3300,,YAN KAYAR PERDE AKSESUARLARI
640060100,Arka Germe Profili,,Katkılı Alüminyum,,,,34,,,3000,,YAN KAYAR PERDE AKSESUARLARI
640060100,Arka Germe Profili,,Katkılı Alüminyum,,,,34,,,3300,,YAN KAYAR PERDE AKSESUARLARI
940010000,Yağmur Profili,,Katkılı Alüminyum,,,57,14,,,2600,,YAN KAYAR PERDE AKSESUARLARI
640070100,Alüminyum Çıta,,Alüminyum 2.5 mm,,,20,,,,5000,,YAN KAYAR PERDE AKSESUARLARI
640500800,Ø10 PVC Fitil,,PVC-Siyah,,,10,,,,,,1 Top = 5.5 Kg,YAN KAYAR PERDE AKSESUARLARI
280031300,Yapışabilir Kolan,,Beyaz,,,46,,,,,,1 Top = 100 m,YAN KAYAR PERDE AKSESUARLARI
280061000,Kolan,,Polipropilen,,,50,,,,,,1 Top = 50 m,YAN KAYAR PERDE AKSESUARLARI
840400412,Lata Yatağı,,HRP 2 mm,Çinko Kaplama,,46,34,,,100,,YAN KAYAR PERDE AKSESUARLARI
840410412,Stange Yatağı,,HRP 2 mm,Çinko Kaplama,,46,34,,,100,,YAN KAYAR PERDE AKSESUARLARI
840410412,Lata Yatağı - gövde,,HRP 2 mm,Ham,,46,34,,,100,,YAN KAYAR PERDE AKSESUARLARI
010240100,24 No Kapsül + Pul,,Alüminyum,Yüzey İşlem,,,19,8,,7.8,,1000 Ad/Pk,KAPSÜL
011240100,24 No Kapsül,,Alüminyum,Yüzey İşlem,,,19,8,,7.8,,1000 Ad/Pk,KAPSÜL
012240100,24 No Pul,,Alüminyum,Yüzey İşlem,,,19,,,,,1000 Ad/Pk,KAPSÜL
010240300,24 No Kapsül + Pul,,Pirinç,Yüzey İşlem,,,19,8,,7.8,,1000 Ad/Pk,KAPSÜL
010240314,24 No Kapsül + Pul,,Pirinç,Nikel,,,19,8,,7.8,,1000 Ad/Pk,KAPSÜL
010240414,24 No Kapsül + Pul,,Sac,Nikel,,,19,8,,7.8,,1000 Ad/Pk,KAPSÜL
010240412,24 No Kapsül + Pul,,Sac,Çinko,,,19,8,,7.8,,1000 Ad/Pk,KAPSÜL
012240100-B,24 No Pul - Boyunlu,,Alüminyum,Yüzey İşlem,,,19,11.3,,2.9,,1000 Ad/Pk,KAPSÜL
010280100,28 No Kapsül + Pul,,Alüminyum,Yüzey İşlem,,,25,11.5,,9.3,,1000 Ad/Pk,KAPSÜL
012280100,28 No Pul,,Alüminyum,Yüzey İşlem,,,25,,,,,1000 Ad/Pk,KAPSÜL
010280300,28 No Kapsül + Pul,,Pirinç,Yüzey İşlem,,,25,11.5,,9.3,,1000 Ad/Pk,KAPSÜL
010280314,28 No Kapsül + Pul,,Pirinç,Nikel,,,25,11.5,,9.3,,1000 Ad/Pk,KAPSÜL
010280414,28 No Kapsül + Pul,,Sac,Nikel,,,25,11.5,,9.3,,1000 Ad/Pk,KAPSÜL
010280400,28 No Kapsül + Pul,,Sac,Çinko,,,25,11.5,,9.3,,1000 Ad/Pk,KAPSÜL
012280100-B,28 No Pul - Boyunlu,,Alüminyum,Yüzey İşlem,,,25,14.8,,3,,1000 Ad/Pk,KAPSÜL
010310100,31 No Kapsül + Pul,,Alüminyum,Yüzey İşlem,,,32.5,16,,10,,1000 Ad/Pk,KAPSÜL
012310100,31 No Pul,,Alüminyum,Yüzey İşlem,,,32.5,,,,,1000 Ad/Pk,KAPSÜL
012310601,31 No Pul,,Plastik,,,,,42,,,,,500 Ad/Pk,KAPSÜL
010310300,31 No Kapsül + Pul,,Pirinç,Yüzey İşlem,,,32.5,16,,10,,1000 Ad/Pk,KAPSÜL
012310100-B,31 No Pul - Boyunlu,,Alüminyum,Yüzey İşlem,,,32.5,20,,3.5,,1000 Ad/Pk,KAPSÜL
010440200,44 No Kapsül + Pul,,Galvaniz,,,,,44,23.5,,12,,1000 Ad/Pk,KAPSÜL
010440300,44 No Kapsül + Pul,,Pirinç,Yüzey İşlem,,,44,23.5,,12,,1000 Ad/Pk,KAPSÜL
010440314,44 No Kapsül + Pul,,Pirinç,Nikel,,,44,23.5,,12,,1000 Ad/Pk,KAPSÜL
010440317,44 No Kapsül + Pul,,Pirinç,Bakır Oksit,,,44,23.5,,12,,1000 Ad/Pk,KAPSÜL
010440318,44 No Kapsül + Pul,,Pirinç,Antik Sarı,,,44,23.5,,12,,1000 Ad/Pk,KAPSÜL
010440414,44 No Kapsül + Pul,,Sac,Nikel,,,44,23.5,,12,,1000 Ad/Pk,KAPSÜL
010440416,44 No Kapsül + Pul,,Sac,Black Nikel,,,44,23.5,,12,,1000 Ad/Pk,KAPSÜL
010440417,44 No Kapsül + Pul,,Sac,Bakır Oksit,,,44,23.5,,12,,1000 Ad/Pk,KAPSÜL
010440418,44 No Kapsül + Pul,,Sac,Antik Sarı,,,44,23.5,,12,,1000 Ad/Pk,KAPSÜL
010480100,48 No Kapsül + Pul,,Alüminyum,Yüzey İşlem,,,48,28,,9.5,,1000 Ad/Pk,KAPSÜL
010480300,48 No Kapsül + Pul,,Pirinç,Yüzey İşlem,,,48,28,,9.5,,1000 Ad/Pk,KAPSÜL
010480314,48 No Kapsül + Pul,,Pirinç,Nikel,,,48,28,,9.5,,1000 Ad/Pk,KAPSÜL
010480318,48 No Kapsül + Pul,,Pirinç,Bakır Oksit,,,48,28,,9.5,,1000 Ad/Pk,KAPSÜL
010480318,48 No Kapsül + Pul,,Pirinç,Antik Sarı,,,48,28,,9.5,,1000 Ad/Pk,KAPSÜL
011240409,Çatı Kapsülü,,Sac,Deltaton,,,24,5,,,1.2,1 Ad,ÇATI KAPSÜLÜ
010400100,40 No Tır Kapsül + Pul,,Alüminyum,Yüzey İşlem,,,62.5,38,,13.5,,500 Ad/Pk,ÇATI KAPSÜLÜ
010400200,40 No Tır Kapsül + Pul,,Galvaniz,,,,62.5,38,,13.5,,500 Ad/Pk,ÇATI KAPSÜLÜ
012400200,40 No Pul,,Galvaniz,,,,62.5,38,,13.5,,500 Ad/Pk,ÇATI KAPSÜLÜ
012400601,40 No Pul,,Plastik,,,,62.5,38,,13.5,,500 Ad/Pk,ÇATI KAPSÜLÜ
010400300,40 No Tır Kapsül + Pul,,Pirinç,Yüzey İşlem,,,62.5,38,,13.5,,500 Ad/Pk,ÇATI KAPSÜLÜ
011400301,40 No Tır Kapsül,,Pirinç,Yüzey İşlem,,,62.5,38,,13.5,,500 Ad/Pk,ÇATI KAPSÜLÜ
010400314,40 No Tır Kapsül + Pul,,Pirinç,Nikel,,,62.5,38,,13.5,,500 Ad/Pk,ÇATI KAPSÜLÜ
010400317,40 No Tır Kapsül + Pul,,Pirinç,Bakır Oksit,,,62.5,38,,13.5,,500 Ad/Pk,ÇATI KAPSÜLÜ
010400316,40 No Tır Kapsül + Pul,,Pirinç,Black Nikel,,,62.5,38,,13.5,,500 Ad/Pk,ÇATI KAPSÜLÜ
010400318,40 No Tır Kapsül + Pul,,Pirinç,Antik Sarı,,,62.5,38,,13.5,,500 Ad/Pk,ÇATI KAPSÜLÜ
010400500,40 No Tır Kapsül + Pul,,Paslanmaz,Yüzey İşlem,,,62.5,38,,13.5,,500 Ad/Pk,ÇATI KAPSÜLÜ
010500200,Oval Tır Kapsül + Pul,,Galvaniz,,,41.5,22,,,11,,500 Ad/Pk,OVAL KAPSÜL
011500601,Oval Tır Pul,,Plastik,,,43,23.5,,,,,,500 Ad/Pk,OVAL KAPSÜL
010450500,45x14 No Kapsül + Pul,,Paslanmaz,Yüzey İşlem,,45,31,,,14,,1000 Ad/Pk,Ø 45 X 14 KAPSÜL
020010412,Tır Kısa Köprü,,,Çinko,,66.5,35.5,,,23,,250 Ad/Pk,KÖPRÜ
020020412,Tır Orta Köprü,,,Çinko,,66.5,35.5,,,27,,250 Ad/Pk,KÖPRÜ
020040412,Tır Uzun Köprü,,,Çinko,,66.5,35.5,,,37.5,,250 Ad/Pk,KÖPRÜ
020040409,Tır Uzun Köprü,,,Geomet,,66.5,35.5,,,37.5,,250 Ad/Pk,KÖPRÜ
020041412,Tır Uzun Köprü,,,Çinko,,66.5,35.5,,,45,,250 Ad/Pk,KÖPRÜ
020030412,Kare Tip Köprü,,,Çinko,,66.5,35.5,,,32,,250 Ad/Pk,KÖPRÜ
020030409,Kare Tip Köprü,,,Geomet,,66.5,35.5,,,32,,250 Ad/Pk,KÖPRÜ
020030500,Kare Tip Köprü,,,Paslanmaz Yüzey İşlem,,66.5,35.5,,,32,,250 Ad/Pk,KÖPRÜ
020210412,Kare Tip Köprü-d,,,Çinko,,70,36.5,,,32,,250 Ad/Pk,KÖPRÜ
020450412,Tır Uzun Köprü 45 Kare Taban,,,Çinko,,36,35.5,,,45,,250 Ad/Pk,KÖPRÜ
020450409,Tır Uzun Köprü 45 Kare Taban,,,Geomet,,36,35.5,,,45,,250 Ad/Pk,KÖPRÜ
020270412,Tır Orta Köprü 27 Kare Taban,,,Çinko,,36,35.5,,,27,,250 Ad/Pk,KÖPRÜ
020270409,Tır Orta Köprü 27 Kare Taban,,,Geomet,,36,35.5,,,27,,250 Ad/Pk,KÖPRÜ
020230412,Tır Kısa Köprü 23 Kare Taban,,,Çinko,,36,35.5,,,23,,250 Ad/Pk,KÖPRÜ
020230409,Tır Kısa Köprü 23 Kare Taban,,,Geomet,,36,35.5,,,23,,250 Ad/Pk,KÖPRÜ
030010412,Köprü Alt,,Sac,Yüzey İşlem,,66,,,,,1.2,1000 Ad/Pk,KÖPRÜ
030020601,Köprü Alt,,Plastik,,,66,,,,,2.2,500 Ad/Pk,KÖPRÜ
020140412,Kısa 2 Delikli Dorse Kancası,,,Çinko,,55,28,,,27,,250 Ad/Pk,KANCA
020240412,Orta 2 Delikli Dorse Kancası,,,Çinko,,55,28,,,35.5,,250 Ad/Pk,KANCA
020340412,Uzun 2 Delikli Dorse Kancası,,,Çinko,,55,28,,,42.5,,250 Ad/Pk,KANCA
020240409,Orta 2 Delikli Dorse Kancası,,,Geomet,,55,28,,,35.5,,250 Ad/Pk,KANCA
020340409,Uzun 2 Delikli Dorse Kancası,,,Geomet,,55,28,,,42.5,,250 Ad/Pk,KANCA
020200412,Sabit Kanca Ø6,,,Çinko,,70,32,,,32,,250 Ad/Pk,KANCA
020200409,Sabit Kanca Ø6,,,Geomet,,70,32,,,32,,250 Ad/Pk,KANCA
020210412,Sabit Kanca Ø6,,,Çinko,,70,32,,,40,,250 Ad/Pk,KANCA
020130412,Sabit Kanca Ø5,,,Çinko,,72,36,,,37.5,,250 Ad/Pk,KANCA
020150412,2 Delikli Dorse Kancası Geniş Taban,,,Çinko,,50,27.5,,,43,,280 Ad/Pk,KANCA
020150409,2 Delikli Dorse Kancası Geniş Taban,,,Geomet,,50,27.5,,,43,,280 Ad/Pk,KANCA
020160412,Radüslü Dorse Kancası Dar Taban,,,Çinko,,70,33,,,45.5,,250 Ad/Pk,KANCA
020160409,Radüslü Dorse Kancası Dar Taban,,,Geomet,,70,33,,,45.5,,250 Ad/Pk,KANCA
020161412,Radüslü Dorse Kancası Geniş Taban,,,Çinko,,50,32,,,45,,250 Ad/Pk,KANCA
020050412,4 Delikli Dorse Kancası,,,Çinko,,48,29,,,40,,280 Ad/Pk,KANCA
020170412,Radüslü Dorse Kancası Dar Taban - d,,,Çinko,,70,34,,,44.5,,250 Ad/Pk,KANCA
020072412,Oynak Kanca Tabanı,,,Çinko,,55,22,,,,,250 Ad/Pk,KANCA
020070412,Kısa Oynak Kanca Ø5,,,Çinko,,55,31,,,40,,250 Ad/Pk,KANCA
020170412,Uzun Oynak Kanca Ø5,,,Çinko,,55,31,,,47,,250 Ad/Pk,KANCA
020071412,Kısa Oynak Kanca Teli Ø5,,,Çinko,,40,31,,,,,250 Ad/Pk,KANCA
020171412,Uzun Oynak Kanca Teli Ø5,,,Çinko,,47,31,,,,,250 Ad/Pk,KANCA
020250412,Hareketli Kanca Kısa Ø6,,,Çinko,,70,35,,,33,,250 Ad/Pk,KANCA
020250409,Hareketli Kanca Kısa Ø6,,,Geomet,,70,35,,,33,,250 Ad/Pk,KANCA
020260412,Hareketli Kanca Uzun Ø6,,,Çinko,,70,36,,,51,,250 Ad/Pk,KANCA
020260409,Hareketli Kanca Uzun Ø6,,,Geomet,,70,36,,,51,,250 Ad/Pk,KANCA
020080412,Yaylı Dorse Kancası,,,Çinko,,68,28,,,47,,250 Ad/Pk,KANCA
020080500,Yaylı Dorse Kancası,,,Paslanmaz Yüzey İşlem,,68,28,,,47,,250 Ad/Pk,KANCA
020180412,Yaylı Dorse Kancası Yüksüklü,,,Çinko,,68,28,,,47,,250 Ad/Pk,KANCA
020090603,Plastik Dorse Kancası,,,,,70,36,,,43,,100 Ad/Pk,KANCA
060141300,Ø14 Halka,,,Ham,,35,28,,,,,1000 Ad/Pk,HALKA
060141312,Ø14 Halka Çinko,,,Çinko,,35,28,,,,,1000 Ad/Pk,HALKA
060161300,Ø16 Halka,,,Ham,,39,32,,,,,750 Ad/Pk,HALKA
060161312,Ø16 Halka Çinko,,,Çinko,,39,32,,,,,750 Ad/Pk,HALKA
060181300,Ø18 Halka,,,Ham,,44,36,,,,,500 Ad/Pk,HALKA
060181312,Ø18 Halka Çinko,,,Çinko,,44,36,,,,,500 Ad/Pk,HALKA
060201300,Ø20 Halka,,,Ham,,47,38,,,,,400 Ad/Pk,HALKA
060201312,Ø20 Halka Çinko,,,Çinko,,47,38,,,,,400 Ad/Pk,HALKA
060501300,Ø50 Halka,,,Ham,,63,50,,,,,100 Ad/Pk,HALKA
060501311,Ø50 Halka Çinko,,,Çinko,,63,50,,,,,100 Ad/Pk,HALKA
060651300,Ø65 Halka,,,Ham,,78,65,,,,,100 Ad/Pk,HALKA
060651311,Ø65 Halka Çinko,,,Çinko,,78,65,,,,,100 Ad/Pk,HALKA
060000601,Çadır Halkası - Yuvarlak,,Plastik,,,49,,38,,,,,500 Ad/Pk,HALKA
070000317,Halka Ucu + Halka,,Pirinç,Bakır Oksit,,,,,,,,,1 Ad,HALKA UCU
080000317,Halka Ucu,,Pirinç,Bakır Oksit,,,,,,,,,1 Ad,HALKA UCU
070201314,2 cm D Toka,,Metal,Nikel,,,,,,,,,2000 Ad/Pk,TOKA
070251314,2.5 cm D Toka,,Metal,Nikel,,,,,,,,,1000 Ad/Pk,TOKA
070301314,3 cm D Toka,,Metal,Nikel,,,,,,,,,1000 Ad/Pk,TOKA
070351314,3.5 cm D Toka,,Metal,Nikel,,,,,,,,,500 Ad/Pk,TOKA
070401314,4 cm D Toka,,Metal,Nikel,,,,,,,,,250 Ad/Pk,TOKA
070290600,3 cm D Toka,,Plastik,,,,,,,,,,1000 Ad/Pk,TOKA
0704900600,4 cm D Toka,,Plastik,,,,,,,,,,1000 Ad/Pk,TOKA
610300100,Alüminyum Ayar Tokası 3 cm,,,Yüzey İşlem,,,,,,,,,1000 Ad/Pk,TOKA
611251413,Çelik Ayar Tokası 2.5 cm,,,Çinko,,,,,,,,,1000 Ad/Pk,TOKA
611300413,Çelik Ayar Tokası 3 cm,,,Çinko,,,,,,,,,1000 Ad/Pk,TOKA
611401413,Çelik Ayar Tokası 4 cm,,,Çinko,,,,,,,,,1000 Ad/Pk,TOKA
610030606,Plastik Ayar Tokası 3 cm,,,Siyah,,,,,,,,,1000 Ad/Pk,TOKA
610030601,Plastik Ayar Tokası 3 cm,,,Beyaz,,,,,,,,,1000 Ad/Pk,TOKA
610040606,Plastik Ayar Tokası 4 cm,,,Siyah,,,,,,,,,1000 Ad/Pk,TOKA
610040601,Plastik Ayar Tokası 4 cm,,,Beyaz,,,,,,,,,1000 Ad/Pk,TOKA
630200601,Plastik Geçme Toka 2 cm,,,Beyaz,,,,,,,,,250 Ad/Pk,TOKA
630200606,Plastik Geçme Toka 2 cm,,,Siyah,,,,,,,,,250 Ad/Pk,TOKA
630300601,Plastik Geçme Toka 3 cm,,,Beyaz,,,,,,,,,250 Ad/Pk,TOKA
630300606,Plastik Geçme Toka 3 cm,,,Siyah,,,,,,,,,250 Ad/Pk,TOKA
630400601,Plastik Geçme Toka 4 cm,,,Beyaz,,,,,,,,,250 Ad/Pk,TOKA
630400600,Plastik Geçme Toka 4 cm,,,Siyah,,,,,,,,,250 Ad/Pk,TOKA
620200414,Masuralı Dilli Toka 2 cm,,,Nikel,,,,,,,,,500 Ad/Pk,TOKA
620250414,Masuralı Dilli Toka 2.5 cm,,,Nikel,,,,,,,,,500 Ad/Pk,TOKA
620300414,Masuralı Dilli Toka 3 cm,,,Nikel,,,,,,,,,500 Ad/Pk,TOKA
620350414,Masuralı Dilli Toka 3.5 cm,,,Nikel,,,,,,,,,500 Ad/Pk,TOKA
620400414,Masuralı Dilli Toka 4 cm,,,Nikel,,,,,,,,,250 Ad/Pk,TOKA
620450414,Masuralı Dilli Toka 4.5 cm,,,Nikel,,,,,,,,,250 Ad/Pk,TOKA
620500414,Masuralı Dilli Toka 5 cm,,,Nikel,,,,,,,,,250 Ad/Pk,TOKA
